Ant version,ID,file,Bug,CHANGE_TYPE_computation,CHANGE_TYPE_data,CHANGE_TYPE_other,HASSAN_edhcm,HASSAN_hcm,HASSAN_ldhcm,HASSAN_lgdhcm,HASSAN_whcm,ISSUE_major_bug,ISSUE_major_improvement,MOSER_authors,MOSER_bugfix,MOSER_revisions,MOSER_sum_lines_deleted,MOSER_weighted_age,PMD_arp,PMD_cis,PMD_odpl,PMD_rule_type_basic rules,PMD_rule_type_controversial rules,PMD_rule_type_design rules,PMD_rule_type_string and stringbuffer rules,PMD_rule_type_unnecessary and unused code rules,PMD_severity_critical,PMD_severity_major,PMD_severity_minor,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD
1.4.1,0.0,src/java/fr/jayasoft/ivy/util/PropertiesFile.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,0,1,1,3,0.6530612244897959,0.7,0.7857142857142857,0.5714285714285714,1.0
1.4.1,1.0,src/java/fr/jayasoft/ivy/util/FileUtil.java,0.0,0,0,2,0.739251028,1.108202791,0.816366243,53.55084593,0.009641998,0,0,1,2,4,8,421.53125,1,0,0,0,2,1,1,0,1,0,4,0.790625,0.8333333333333334,0.8717948717948718,0.7272727272727273,0.8333333333333334
1.4.1,2.0,src/java/fr/jayasoft/ivy/event/FilteredIvyListener.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.6,1.0,0.6666666666666666,0.6,0.5
1.4.1,3.0,src/java/fr/jayasoft/ivy/event/Trigger.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.4.1,4.0,src/java/fr/jayasoft/ivy/filter/AndFilter.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.7931034482758621,1.0,0.7142857142857143,0.6666666666666666,0.5
1.4.1,5.0,src/java/fr/jayasoft/ivy/filter/FilterHelper.java,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,387.0,0,0,0,0,0,0,0,0,0,0,2,0.4861111111111111,0.5833333333333334,0.5555555555555556,0.5,0.75
1.4.1,6.0,src/java/fr/jayasoft/ivy/filter/NoFilter.java,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,387.0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,1.0,1.0,1.0
1.4.1,7.0,src/java/fr/jayasoft/ivy/filter/NotFilter.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.8333333333333334,1.0,0.8,0.75,0.6666666666666666
1.4.1,8.0,src/java/fr/jayasoft/ivy/filter/OrFilter.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0.7931034482758621,1.0,0.7142857142857143,0.6666666666666666,0.5
1.4.1,9.0,src/java/fr/jayasoft/ivy/event/download/DownloadEvent.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,5,199.2857143,0,0,0,0,0,1,0,0,0,0,2,0.875,0.0,0.875,0.6666666666666666,0.6666666666666666
1.4.1,10.0,src/java/fr/jayasoft/ivy/event/download/NeedArtifactEvent.java,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,8,199.2727273,0,0,0,0,0,1,0,0,0,0,2,0.8333333333333334,0.0,0.8,0.5,0.5
1.4.1,11.0,src/java/fr/jayasoft/ivy/event/download/PrepareDownloadEvent.java,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,3,198.5714286,0,0,0,0,0,2,0,0,0,2,3,0.7272727272727273,0.0,0.75,0.5,0.5
