Calcite version,ID,file,Version-ID,Bug,CHANGE_TYPE_computation,CHANGE_TYPE_data,CHANGE_TYPE_other,HASSAN_edhcm,HASSAN_hcm,HASSAN_ldhcm,HASSAN_lgdhcm,HASSAN_whcm,ISSUE_major_bug,ISSUE_major_improvement,MOSER_authors,MOSER_bugfix,MOSER_revisions,MOSER_sum_lines_deleted,MOSER_weighted_age,PMD_arp,PMD_cis,PMD_odpl,PMD_rule_type_basic rules,PMD_rule_type_controversial rules,PMD_rule_type_design rules,PMD_rule_type_string and stringbuffer rules,PMD_rule_type_unnecessary and unused code rules,PMD_severity_critical,PMD_severity_major,PMD_severity_minor,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD
1.1.0,0.0,core/src/main/java/org/apache/calcite/rel/rules/AggregateProjectMergeRule.java,1.1.0-0,1.0,1.0,10.0,1.0,0.972253816304655,1.54030332161093,1.09098277873934,65.773725610143,0.0030544175434251,4.0,0.0,2.0,1.0,5.0,40.0,5.02173913043478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.985018727,0.892857143,0.966666667,0.833333333,1.0
1.1.0,1.0,core/src/main/java/org/apache/calcite/sql/type/SetopOperandTypeChecker.java,1.1.0-1,0.0,0.0,0.0,2.0,0.972253816304655,1.54030332161093,1.09098277873934,65.773725610143,0.0014601878331495,3.0,0.0,1.0,1.0,3.0,11.0,1.34042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835227273,0.681818182,0.869565217,0.631578947,0.875
1.1.0,2.0,linq4j/src/main/java/org/apache/calcite/linq4j/CartesianProductEnumerator.java,1.1.0-2,0.0,2.0,2.0,4.0,0.898641085743184,0.898641085743184,0.898641085743184,90.3126839704114,0.0006916537098226,2.0,0.0,1.0,2.0,3.0,12.0,0.110091743119266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.714285714,0.611111111,0.615384615,0.571428571,0.6
1.1.0,3.0,core/src/main/java/org/apache/calcite/interpreter/AbstractSingleNode.java,1.1.0-3,0.0,0.0,0.0,0.0,0.478723866354604,0.478723866354604,0.478723866354604,48.1113516142223,0.0052713726228556,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1.1.0,4.0,core/src/main/java/org/apache/calcite/interpreter/Row.java,1.1.0-4,0.0,0.0,0.0,2.0,0.88259749688208,2.18683276540572,1.16253848990706,50.0536751891759,0.0299345064496005,3.0,0.0,2.0,2.0,5.0,2.0,53.0373134328358,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.555555556,0.5,0.739130435,0.55,0.647058824
1.1.0,5.0,core/src/main/java/org/apache/calcite/plan/RelOptPlanner.java,1.1.0-5,0.0,0.0,0.0,4.0,0.798974526782608,1.36702403208889,0.9177034892173,48.3593006951282,0.0035440163722794,2.0,0.0,1.0,1.0,3.0,24.0,0.714681440443213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
1.1.0,6.0,core/src/main/java/org/apache/calcite/plan/RelOptUtil.java,1.1.0-6,1.0,14.0,64.0,39.0,0.902567444131142,4.2130207736991,1.5111680908052,63.4907273713414,0.115559342144094,17.0,3.0,5.0,3.0,19.0,453.0,928.167346938775,4.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,4.0,6.0,0.529873528,0.3960217,0.526268923,0.44047619,0.744525547
1.1.0,7.0,avatica/src/main/java/org/apache/calcite/avatica/AvaticaParameter.java,1.1.0-7,0.0,13.0,1.0,3.0,0.850617057955879,2.03324818894786,1.11332301385186,51.2751680165199,0.0176075610030586,4.0,2.0,1.0,2.0,4.0,90.0,399.350877192982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.1.0,8.0,core/src/main/java/org/apache/calcite/interpreter/SortNode.java,1.1.0-8,1.0,3.0,9.0,2.0,0.929297390575042,2.79144068204847,1.32468671747502,62.8045023188789,0.0474063214309475,10.0,1.0,1.0,1.0,6.0,57.0,29.6850828729281,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.633699634,0.566666667,0.688888889,0.44,0.6
1.1.0,9.0,core/src/main/java/org/apache/calcite/plan/RelCompositeTrait.java,1.1.0-9,0.0,0.0,0.0,0.0,0.604607916642749,0.604607916642749,0.604607916642749,60.7625942860242,0.0220206745489537,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.733333333,0.607142857,0.717391304,0.724137931,0.933333333
