======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: ant-ivy-sm-only
Algorithm: DBSCAN
Samples: 2237, Features: 3624
======================================================================

Rank   Feature                                               Relevance
----------------------------------------------------------------------
1      SM_interface_tnos_gini                                 5.943313
2      SM_interface_tnos_min                                  5.864008
3      SM_interface_tnos_sum                                  5.864008
4      SM_interface_tnos_avg                                  5.864008
5      SM_interface_tnos_max                                  5.864008
6      SM_interface_tnos_median                               5.864008
7      SM_method_mims_generalized_entropy                     5.736210
8      SM_method_mi_generalized_entropy                       5.736106
9      SM_method_mims_theil                                   5.693239
10     SM_method_mi_theil                                     5.693196
11     SM_method_mims_atkinson                                5.690729
12     SM_method_mi_atkinson                                  5.690729
13     SM_class_tnlpa_sum                                     5.537528
14     SM_class_nii_stdev                                     5.472421
15     SM_interface_nii_sum                                   5.282197
16     SM_interface_nii_max                                   5.282188
17     SM_interface_nii_avg                                   5.282188
18     SM_interface_nii_median                                5.282188
19     SM_interface_nii_min                                   5.282188
20     SM_method_mism_generalized_entropy                     5.089709
21     SM_interface_tna_avg                                   5.085631
22     SM_interface_tna_median                                5.085631
23     SM_interface_tna_min                                   5.085631
24     SM_interface_tna_max                                   5.085631
25     SM_interface_tnla_min                                  5.085631
26     SM_interface_tnla_median                               5.085631
27     SM_interface_tnla_max                                  5.085631
28     SM_interface_tnla_avg                                  5.085631
29     SM_interface_tnla_sum                                  5.085631
30     SM_interface_tna_sum                                   5.085631
31     SM_method_misei_generalized_entropy                    5.079269
32     SM_class_tnpa_sum                                      4.978159
33     SM_interface_tnos_atkinson                             4.959100
34     SM_method_misei_atkinson                               4.937005
35     SM_interface_tnpa_avg                                  4.927342
36     SM_interface_nla_median                                4.927342
37     SM_interface_nla_sum                                   4.927342
38     SM_interface_nla_min                                   4.927342
39     SM_interface_nlpa_avg                                  4.927342
40     SM_interface_nlpa_max                                  4.927342
41     SM_interface_nlpa_median                               4.927342
42     SM_interface_tnlpa_max                                 4.927342
43     SM_interface_tnlpa_min                                 4.927342
44     SM_interface_tnlpa_sum                                 4.927342
45     SM_interface_tnlpa_median                              4.927342
46     SM_interface_npa_avg                                   4.927342
47     SM_interface_tnlpa_avg                                 4.927342
48     SM_interface_npa_max                                   4.927342
49     SM_interface_npa_median                                4.927342
50     SM_interface_npa_sum                                   4.927342
51     SM_interface_npa_min                                   4.927342
52     SM_interface_nlpa_sum                                  4.927342
53     SM_interface_na_median                                 4.927342
54     SM_interface_na_min                                    4.927342
55     SM_interface_tnpa_min                                  4.927342
56     SM_interface_tnpa_sum                                  4.927342
57     SM_interface_na_max                                    4.927342
58     SM_interface_nlpa_min                                  4.927342
59     SM_interface_na_sum                                    4.927342
60     SM_interface_na_avg                                    4.927342
61     SM_interface_tnpa_max                                  4.927342
62     SM_interface_tnpa_median                               4.927342
63     SM_interface_nla_avg                                   4.927342
64     SM_interface_nla_max                                   4.927342
65     SM_method_mism_theil                                   4.889640
66     SM_method_mism_atkinson                                4.838059
67     SM_interface_tnpa_atkinson                             4.836056
68     SM_interface_nlpa_atkinson                             4.836056
69     SM_interface_na_atkinson                               4.836056
70     SM_interface_tnlpa_atkinson                            4.836056
71     SM_interface_nla_atkinson                              4.836056
72     SM_interface_npa_atkinson                              4.836056
73     SM_class_nop_stdev                                     4.779016
74     SM_class_nod_theil                                     4.674373
75     SM_method_misei_theil                                  4.471166
76     SM_class_cboi_stdev                                    4.440837
77     SM_class_pua_stdev                                     4.386934
78     SM_class_nlpm_stdev                                    4.367232
79     SM_interface_npa_gini                                  4.317161
80     SM_interface_tnlpa_gini                                4.317161
81     SM_interface_na_gini                                   4.317161
82     SM_interface_nla_gini                                  4.317161
83     SM_interface_nlpa_gini                                 4.317161
84     SM_interface_tnpa_gini                                 4.317161
85     SM_interface_tna_gini                                  4.317161
86     SM_interface_tnla_gini                                 4.317161
87     SM_method_mims_hoover                                  4.266679
88     SM_method_mi_hoover                                    4.266679
89     SM_class_nlpa_stdev                                    4.262558
90     SM_interface_tnla_atkinson                             4.188573
91     SM_interface_tna_atkinson                              4.188573
92     SM_method_mims_coefficient_of_variation                4.143362
93     SM_method_mi_coefficient_of_variation                  4.143362
94     SM_class_pda_stdev                                     4.127407
95     SM_interface_tnlg_sum                                  4.116300
96     SM_interface_tnlg_median                               4.116300
97     SM_interface_tnlg_min                                  4.116300
98     SM_interface_tnlg_max                                  4.116300
99     SM_interface_tnlg_avg                                  4.116300
100    SM_class_nop_max                                       4.111179
101    SM_interface_nlg_median                                4.107187
102    SM_interface_nlg_max                                   4.107187
103    SM_interface_nlg_sum                                   4.107187
104    SM_interface_nlg_avg                                   4.107187
105    SM_interface_nlg_min                                   4.107187
106    SM_class_dloc_stdev                                    4.001859
107    SM_interface_nop_sum                                   3.980698
108    SM_interface_nop_avg                                   3.980698
109    SM_interface_nop_max                                   3.980698
110    SM_interface_nop_min                                   3.980698
111    SM_interface_nop_median                                3.980698
112    SM_interface_pda_avg                                   3.957719
113    SM_interface_pda_median                                3.957719
114    SM_interface_pda_min                                   3.957676
115    SM_interface_pda_sum                                   3.957648
116    SM_interface_pda_max                                   3.957648
117    SM_class_tnlpm_stdev                                   3.909877
118    SM_class_nl_stdev                                      3.890499
119    SM_class_tnlpa_min                                     3.848871
120    SM_interface_tloc_max                                  3.775580
121    SM_interface_tloc_median                               3.775579
122    SM_interface_tloc_avg                                  3.775579
123    SM_interface_tloc_min                                  3.775574
124    SM_interface_tloc_sum                                  3.775556
125    SM_class_nlm_stdev                                     3.757384
126    SM_interface_tnls_atkinson                             3.727257
127    SM_interface_nls_atkinson                              3.727257
128    SM_interface_ns_atkinson                               3.727257
129    SM_interface_tns_atkinson                              3.727257
