======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: ant-ivy-top30-sm-effort-cov
Algorithm: DBSCAN
Samples: 2237, Features: 184
======================================================================

Rank   Feature                                               Relevance
----------------------------------------------------------------------
1      PMD_smn                                                6.352653
2      PMD_dncgce                                             6.352653
3      PMD_aes                                                6.289805
4      PMD_acwam                                              5.800452
5      PMD_unaion                                             5.800452
6      PMD_fdncsf                                             5.800452
7      PMD_rule_type_finalizer rules                          5.800452
8      PMD_rule_type_j2ee rules                               5.800452
9      PMD_dncse                                              5.711657
10     PMD_pci                                                5.371379
11     PMD_reartn                                             5.192992
12     PMD_sts                                                5.021651
13     PMD_sidte                                              4.476839
14     PMD_rule_type_clone implementation rules               4.344983
15     PMD_isb                                                4.287388
16     PMD_ntss                                               3.942528
17     PMD_apst                                               3.577509
18     PMD_usdf                                               3.452554
19     PMD_mbis                                               3.448668
20     PMD_scn                                                3.267261
21     PMD_sf                                                 3.260505
22     PMD_ecb                                                3.183365
23     PMD_cwopcsbf                                           3.108415
24     PMD_ctcnse                                             3.037783
25     PMD_sp                                                 2.996901
26     PMD_upf                                                2.963590
27     PMD_atret                                              2.873021
28     PMD_clmmic                                             2.851625
29     PMD_sdfnl                                              2.847033
30     PMD_gls                                                2.711998
31     PMD_acge                                               2.568046
32     PMD_asbf                                               2.564569
33     PMD_severity_critical                                  2.503186
34     PMD_gdl                                                2.493559
35     PMD_rule_type_type resolution rules                    2.237989
36     PMD_rule_type_string and stringbuffer rules            2.132214
37     PMD_rule_type_java logging rules                       2.089359
38     PMD_arp                                                2.012608
39     PMD_rule_type_unnecessary and unused code rules        1.898419
40     PMD_aio                                                1.792339
41     PMD_ulbr                                               1.632521
42     PMD_cis                                                1.601664
43     PMD_uv                                                 1.466759
44     PMD_uc                                                 1.419219
45     PMD_severity_major                                     1.412796
46     PMD_rule_type_design rules                             1.401894
47     PMD_adl                                                1.344785
48     PMD_rule_type_controversial rules                      1.307289
49     PMD_rule_type_basic rules                              1.304008
50     PMD_rule_type_jakarta commons logging rules            1.233201
51     PMD_uec                                                1.216444
52     PMD_rule_type_optimization rules                       1.183728
53     PMD_rule_type_strict exception rules                   1.118255
54     PMD_severity_minor                                     1.115334
55     PMD_rule_type_naming rules                             1.075507
56     PMD_dp                                                 1.025844
57     PMD_ucie                                               1.020412
58     PMD_fdsbasoc                                           1.012802
59     COV_COMPLEXITY                                         0.818690
60     COV_BRANCH                                             0.797878
61     COV_METHOD                                             0.789098
62     COV_LINE                                               0.772084
63     COV_INSTRUCTION                                        0.766501
64     PMD_afnmmn                                             0.749209
65     PMD_loc                                                0.742375
66     ISSUE_critical_bug                                     0.732959
67     PMD_pst                                                0.675007
68     PMD_uni                                                0.572624
69     PMD_asaml                                              0.553561
70     PMD_usbfsa                                             0.551143
71     MOSER_weighted_age                                     0.516097
72     MOSER_bugfix                                           0.507275
73     ISSUE_major_improvement                                0.485321
74     PMD_glsju                                              0.482417
75     MOSER_revisions                                        0.455811
76     MOSER_avg_changeset                                    0.451607
77     HASSAN_whcm                                            0.426814
78     ISSUE_minor_improvement                                0.423328
79     MOSER_authors                                          0.419161
80     ISSUE_major_bug                                        0.415514
81     PMD_if                                                 0.415166
82     MOSER_max_changeset                                    0.404170
83     PMD_rfi                                                0.402617
84     PMD_apmp                                               0.389939
85     CHANGE_TYPE_other                                      0.386412
86     HASSAN_hcm                                             0.369852
