======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: ant-ivy
Algorithm: DBSCAN
Samples: 2237, Features: 4189
======================================================================

Rank   Feature                                               Relevance
----------------------------------------------------------------------
1      SM_class_nii_stdev                                     7.069130
2      SM_interface_nii_sum                                   6.823000
3      SM_interface_nii_median                                6.822988
4      SM_interface_nii_max                                   6.822988
5      SM_interface_nii_avg                                   6.822988
6      SM_interface_nii_min                                   6.822988
7      SM_class_pda_stdev                                     5.513951
8      SM_interface_nlg_avg                                   5.433527
9      SM_interface_nlg_median                                5.433527
10     SM_interface_nlg_max                                   5.433527
11     SM_interface_nlg_min                                   5.433527
12     SM_interface_nlg_sum                                   5.433527
13     SM_class_dloc_stdev                                    5.391284
14     SM_interface_tnlg_median                               5.370200
15     SM_interface_tnlg_min                                  5.370200
16     SM_interface_tnlg_avg                                  5.370200
17     SM_interface_tnlg_sum                                  5.370200
18     SM_interface_tnlg_max                                  5.370200
19     SM_class_nod_theil                                     5.323954
20     AST_trystatement                                       5.211893
21     SM_interface_nls_atkinson                              5.130669
22     SM_interface_tns_atkinson                              5.130669
23     SM_interface_ns_atkinson                               5.130669
24     SM_interface_tnls_atkinson                             5.130669
25     SM_class_nod_generalized_entropy                       5.023299
26     SM_interface_pda_median                                4.995872
27     SM_interface_pda_avg                                   4.995872
28     SM_interface_pda_min                                   4.995817
29     SM_interface_pda_max                                   4.995783
30     SM_interface_pda_sum                                   4.995783
31     PMD_isb                                                4.946559
32     SM_class_cboi_stdev                                    4.942711
33     SM_interface_nop_max                                   4.861090
34     SM_interface_nop_sum                                   4.861090
35     SM_interface_nop_avg                                   4.861090
36     SM_interface_nop_min                                   4.861090
37     SM_interface_nop_median                                4.861090
38     PMD_sdfnl                                              4.738702
39     PMD_scn                                                4.710697
40     SM_class_cloc_stdev                                    4.614421
41     SM_interface_loc_max                                   4.581588
42     SM_interface_loc_median                                4.581588
43     SM_interface_loc_avg                                   4.581588
44     SM_interface_loc_min                                   4.581582
45     SM_interface_loc_sum                                   4.581556
46     SM_interface_tnlpa_atkinson                            4.557629
47     SM_interface_tnpa_atkinson                             4.557629
48     SM_interface_npa_atkinson                              4.557629
49     SM_interface_nla_atkinson                              4.557629
50     SM_interface_nlpa_atkinson                             4.557629
51     SM_interface_na_atkinson                               4.557629
52     SM_interface_tloc_max                                  4.482294
53     SM_interface_tloc_avg                                  4.482294
54     SM_interface_tloc_median                               4.482294
55     SM_interface_tloc_min                                  4.482288
56     SM_interface_tloc_sum                                  4.482266
57     SM_class_tcloc_stdev                                   4.474599
58     SM_interface_cboi_min                                  4.456378
59     SM_interface_cboi_avg                                  4.441885
60     SM_interface_cboi_median                               4.441885
61     SM_interface_cboi_max                                  4.403780
62     SM_interface_tna_atkinson                              4.399675
63     SM_interface_tnla_atkinson                             4.399675
64     SM_interface_cboi_sum                                  4.395365
65     SM_interface_rfc_max                                   4.380270
66     SM_interface_nlm_min                                   4.380270
67     SM_interface_nlm_avg                                   4.380270
68     SM_interface_nlm_median                                4.380270
69     SM_interface_nlm_max                                   4.380270
70     SM_interface_nlpm_avg                                  4.380270
71     SM_interface_nlpm_max                                  4.380270
72     SM_interface_nlpm_min                                  4.380270
73     SM_interface_nlpm_median                               4.380270
74     SM_interface_wmc_avg                                   4.380270
75     SM_interface_wmc_max                                   4.380270
76     SM_interface_wmc_median                                4.380270
77     SM_interface_rfc_median                                4.380270
78     SM_interface_rfc_min                                   4.380270
79     SM_interface_rfc_avg                                   4.380270
80     SM_interface_wmc_min                                   4.380270
81     SM_interface_wmc_sum                                   4.380107
82     SM_interface_nlpm_sum                                  4.380107
83     SM_interface_nlm_sum                                   4.380107
84     SM_interface_rfc_sum                                   4.380107
85     SM_interface_tnlpm_avg                                 4.324180
86     SM_interface_tnlpm_median                              4.324180
87     SM_interface_tnlpm_min                                 4.324180
88     SM_interface_tnlpm_max                                 4.324180
89     SM_interface_tnlpm_sum                                 4.324026
90     SM_interface_tnlm_median                               4.298343
91     SM_interface_tnlm_min                                  4.298343
92     SM_interface_tnlm_max                                  4.298343
93     SM_interface_tnlm_avg                                  4.298343
94     SM_interface_tnlm_sum                                  4.298193
95     SM_interface_ng_min                                    4.250628
96     SM_interface_ng_median                                 4.250628
97     SM_interface_ng_avg                                    4.250628
98     SM_interface_ng_max                                    4.250628
99     SM_interface_ng_sum                                    4.250628
100    SM_interface_tng_max                                   4.231595
101    SM_interface_tng_avg                                   4.231595
102    SM_interface_tng_min                                   4.231595
103    SM_interface_tng_sum                                   4.231595
104    SM_interface_tng_median                                4.231595
105    SM_class_tnlpa_theil                                   4.205494
106    SM_interface_nls_max                                   4.183294
107    SM_interface_nls_avg                                   4.183294
108    SM_interface_nls_median                                4.183294
109    SM_interface_nls_sum                                   4.183294
110    SM_interface_tnls_avg                                  4.183294
111    SM_interface_tnls_median                               4.183294
112    SM_interface_tnls_max                                  4.183294
113    SM_interface_tnls_min                                  4.183294
114    SM_interface_tnls_sum                                  4.183294
115    SM_interface_nls_min                                   4.183294
116    SM_interface_nop_atkinson                              4.143927
117    SM_interface_cloc_sum                                  4.131925
118    SM_interface_tcloc_sum                                 4.131925
119    SM_interface_cloc_max                                  4.131925
120    SM_interface_tcloc_max                                 4.131925
121    SM_interface_tcloc_avg                                 4.131911
122    SM_interface_cloc_median                               4.131911
123    SM_interface_tcloc_median                              4.131911
124    SM_interface_cloc_avg                                  4.131911
125    SM_interface_tcloc_min                                 4.131888
126    SM_interface_cloc_min                                  4.131888
127    SM_interface_dloc_max                                  4.095692
128    SM_interface_dloc_sum                                  4.095692
129    SM_interface_dloc_avg                                  4.095682
130    SM_interface_dloc_median                               4.095682
131    SM_interface_dloc_min                                  4.095670
132    SM_interface_tns_max                                   4.082140
133    SM_interface_tns_avg                                   4.082140
134    SM_interface_ns_sum                                    4.082140
135    SM_interface_ns_min                                    4.082140
136    SM_interface_ns_avg                                    4.082140
137    SM_interface_tns_min                                   4.082140
138    SM_interface_tns_median                                4.082140
139    SM_interface_tns_sum                                   4.082140
140    SM_interface_ns_max                                    4.082140
141    SM_interface_ns_median                                 4.082140
142    SM_class_tnlpa_coefficient_of_variation                4.063530
143    SM_interface_noa_min                                   4.063447
144    SM_interface_noa_max                                   4.063447
145    SM_interface_noa_avg                                   4.063447
146    SM_interface_noa_sum                                   4.063447
147    SM_interface_noa_median                                4.063447
148    SM_method_nii_sum                                      3.997987
149    SM_interface_cbo_avg                                   3.984538
150    SM_interface_cbo_median                                3.984538
151    SM_interface_cbo_min                                   3.984491
152    SM_interface_cbo_sum                                   3.984421
153    SM_interface_cbo_max                                   3.984421
154    SM_interface_lloc_avg                                  3.936536
155    SM_interface_lloc_min                                  3.936536
156    SM_interface_lloc_median                               3.936536
157    SM_interface_lloc_max                                  3.936536
158    SM_interface_lloc_sum                                  3.935315
159    SM_package_tcloc                                       3.921765
160    SM_class_nlpa_theil                                    3.915740
161    SM_class_nla_theil                                     3.914140
162    SM_class_nii_max                                       3.882606
163    SM_class_nii_sum                                       3.847657
164    SM_class_nlpa_coefficient_of_variation                 3.820559
165    PMD_sf                                                 3.761278
166    SM_interface_tna_gini                                  3.750910
167    SM_interface_tnla_gini                                 3.750910
