======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: calcite-sm-only
Algorithm: DBSCAN
Samples: 19751, Features: 2859
======================================================================

Rank   Feature                                               Relevance
----------------------------------------------------------------------
1      SM_interface_nod_stdev                                 7.931377
2      SM_enum_dloc_stdev                                     7.626832
3      SM_enum_cloc_stdev                                     7.554454
4      SM_enum_tcloc_stdev                                    7.533322
5      SM_enum_nlpa_stdev                                     7.251352
6      SM_enum_npa_stdev                                      7.251352
7      SM_enum_nla_stdev                                      7.167444
8      SM_enum_na_stdev                                       7.167444
9      SM_enum_tnpa_stdev                                     7.046466
10     SM_enum_tnlpa_stdev                                    7.046466
11     SM_enum_tnla_stdev                                     6.971029
12     SM_enum_tna_stdev                                      6.971029
13     SM_interface_tnla_stdev                                6.758784
14     SM_interface_tna_stdev                                 6.725943
15     SM_interface_cboi_stdev                                6.628806
16     SM_interface_noc_stdev                                 6.522336
17     SM_enum_ad_generalized_entropy                         6.512501
18     SM_enum_ad_atkinson                                    6.495268
19     SM_interface_tnm_stdev                                 6.471432
20     SM_enum_ad_theil                                       6.467315
21     SM_enum_cco_theil                                      6.427651
22     SM_method_cco_min                                      6.414600
23     SM_method_ci_min                                       6.402888
24     SM_method_cco_median                                   6.398925
25     SM_interface_tlloc_stdev                               6.397246
26     SM_class_lldc_sum                                      6.335626
27     SM_method_ccl_min                                      6.333165
28     SM_class_ldc_sum                                       6.332351
29     SM_class_ci_sum                                        6.325887
30     SM_enum_lldc_theil                                     6.320043
31     SM_class_ccl_sum                                       6.319760
32     SM_enum_ldc_theil                                      6.319552
33     SM_interface_tnla_max                                  6.316922
34     SM_class_cco_sum                                       6.310483
35     SM_enum_cco_min                                        6.291590
36     SM_interface_tnla_sum                                  6.290800
37     SM_method_ci_median                                    6.288356
38     SM_class_lldc_max                                      6.278994
39     SM_interface_tnlpa_stdev                               6.270505
40     SM_package_lldc                                        6.270449
41     SM_interface_tna_max                                   6.269977
42     SM_method_clc_sum                                      6.269221
43     SM_method_cllc_sum                                     6.269170
44     SM_method_cc_sum                                       6.267686
45     SM_method_cco_avg                                      6.265529
46     SM_package_ldc                                         6.264642
47     SM_class_ldc_max                                       6.264409
48     SM_interface_tnos_median                               6.257441
49     SM_class_ci_max                                        6.245505
50     SM_method_lldc_sum                                     6.239606
51     SM_interface_tna_sum                                   6.238951
52     SM_interface_tnos_stdev                                6.234343
53     SM_interface_tnpa_stdev                                6.233152
54     SM_method_ccl_sum                                      6.231846
55     SM_enum_cboi_stdev                                     6.228515
56     SM_interface_tnos_avg                                  6.225371
57     SM_interface_clc_gini                                  6.223746
58     SM_interface_ccl_gini                                  6.223746
59     SM_interface_ldc_gini                                  6.223746
60     SM_interface_lldc_gini                                 6.223746
61     SM_interface_cco_gini                                  6.223746
62     SM_interface_ci_gini                                   6.223746
63     SM_interface_cc_gini                                   6.223746
64     SM_interface_cllc_gini                                 6.223746
65     SM_method_ldc_sum                                      6.223411
66     SM_class_cco_max                                       6.211933
67     SM_interface_tnos_sum                                  6.205940
68     SM_interface_tnos_max                                  6.205940
69     SM_class_tnlg_sum                                      6.202493
70     SM_enum_ci_min                                         6.198173
71     SM_class_tnls_sum                                      6.186431
72     SM_interface_tloc_stdev                                6.179484
73     SM_method_ci_sum                                       6.178447
74     SM_interface_tnlm_stdev                                6.163171
75     SM_enum_pua_stdev                                      6.158252
76     SM_class_ci_stdev                                      6.155766
77     SM_enum_nlg_stdev                                      6.123498
78     SM_enum_ng_stdev                                       6.123498
79     SM_class_lldc_stdev                                    6.117647
80     SM_enum_cco_median                                     6.108436
81     SM_enum_cco_avg                                        6.104673
82     SM_enum_dloc_max                                       6.098544
83     SM_method_cco_sum                                      6.096069
84     SM_interface_tlloc_max                                 6.092151
85     SM_class_ldc_stdev                                     6.084144
86     SM_enum_dloc_sum                                       6.078082
87     SM_enum_ccl_theil                                      6.070648
88     SM_enum_cboi_generalized_entropy                       6.070284
89     SM_enum_cloc_max                                       6.069498
90     SM_enum_tcloc_max                                      6.067580
91     SM_class_tnlg_max                                      6.063029
92     SM_enum_cloc_sum                                       6.050152
93     SM_enum_tcloc_sum                                      6.047860
94     SM_enum_noi_generalized_entropy                        6.047256
95     SM_class_tnlpm_sum                                     6.045581
96     SM_interface_ldc_shannon_entropy                       6.039077
97     SM_interface_ccl_shannon_entropy                       6.039077
98     SM_interface_cco_shannon_entropy                       6.039077
99     SM_interface_cc_shannon_entropy                        6.039077
100    SM_interface_cllc_shannon_entropy                      6.039077
101    SM_interface_clc_shannon_entropy                       6.039077
102    SM_interface_ci_shannon_entropy                        6.039077
103    SM_interface_lldc_shannon_entropy                      6.039077
104    SM_class_tnlm_sum                                      6.036893
105    SM_interface_nop_stdev                                 6.031205
106    SM_interface_tlloc_sum                                 5.998043
107    SM_enum_ng_sum                                         5.993577
108    SM_enum_nlg_sum                                        5.993577
109    SM_enum_npa_generalized_entropy                        5.985744
110    SM_enum_nlpa_generalized_entropy                       5.985744
111    SM_interface_noa_stdev                                 5.980732
112    SM_enum_cc_theil                                       5.980098
113    SM_method_lldc_min                                     5.977807
114    SM_class_tnos_sum                                      5.977757
115    SM_enum_cllc_theil                                     5.974754
116    SM_class_ccl_max                                       5.973507
117    SM_enum_clc_theil                                      5.969562
118    SM_class_tlloc_sum                                     5.959920
119    SM_class_cco_stdev                                     5.956193
120    SM_method_ldc_min                                      5.953297
121    SM_enum_tnpa_generalized_entropy                       5.951361
122    SM_enum_tnlpa_generalized_entropy                      5.951361
123    SM_enum_nla_generalized_entropy                        5.930259
124    SM_enum_na_generalized_entropy                         5.930259
125    SM_enum_cboi_atkinson                                  5.929708
126    SM_class_nlg_sum                                       5.929050
127    SM_class_tloc_sum                                      5.923168
128    SM_enum_ccl_min                                        5.920373
129    SM_enum_ci_median                                      5.912838
130    SM_enum_ci_avg                                         5.910545
131    SM_interface_nop_sum                                   5.909835
132    SM_enum_noi_coefficient_of_variation                   5.860965
133    SM_method_ccl_median                                   5.848925
134    SM_enum_cbo_stdev                                      5.848822
135    SM_enum_cbo_generalized_entropy                        5.826650
136    SM_enum_tnla_generalized_entropy                       5.818901
137    SM_enum_tna_generalized_entropy                        5.818901
138    SM_enum_cco_coefficient_of_variation                   5.817869
139    SM_enum_noi_hoover                                     5.815725
140    SM_enum_noi_atkinson                                   5.815725
141    SM_enum_cc_coefficient_of_variation                    5.815632
142    SM_enum_ldc_coefficient_of_variation                   5.815475
143    SM_enum_lldc_coefficient_of_variation                  5.815475
144    SM_enum_ccl_coefficient_of_variation                   5.811677
145    SM_enum_ci_coefficient_of_variation                    5.811677
146    SM_enum_cllc_coefficient_of_variation                  5.809502
147    SM_interface_nlg_sum                                   5.807096
148    SM_enum_clc_coefficient_of_variation                   5.804116
149    SM_enum_ad_coefficient_of_variation                    5.778956
150    SM_enum_tng_sum                                        5.776197
151    SM_enum_tnlg_sum                                       5.776197
152    SM_enum_cc_atkinson                                    5.774937
153    SM_enum_ldc_atkinson                                   5.773968
154    SM_enum_lldc_atkinson                                  5.773968
155    SM_enum_ci_atkinson                                    5.771912
156    SM_enum_ccl_atkinson                                   5.771912
157    SM_enum_cllc_atkinson                                  5.771328
158    SM_enum_clc_atkinson                                   5.767608
159    SM_enum_ldc_generalized_entropy                        5.766941
160    SM_enum_lldc_generalized_entropy                       5.766702
161    SM_enum_cco_hoover                                     5.765772
162    SM_enum_ad_hoover                                      5.763702
163    SM_enum_ldc_hoover                                     5.762385
164    SM_enum_lldc_hoover                                    5.762385
165    SM_enum_cc_hoover                                      5.762189
166    SM_enum_nlpa_atkinson                                  5.760749
167    SM_enum_npa_atkinson                                   5.760749
168    SM_enum_ccl_hoover                                     5.758983
169    SM_enum_ci_hoover                                      5.758983
170    SM_enum_cllc_hoover                                    5.757914
171    SM_enum_cco_max                                        5.753105
172    SM_enum_clc_hoover                                     5.752116
173    SM_enum_cco_atkinson                                   5.751938
174    SM_enum_ci_theil                                       5.733629
175    SM_enum_noi_theil                                      5.726941
176    SM_enum_pua_theil                                      5.720738
177    SM_interface_tnlpm_stdev                               5.713817
178    SM_enum_cco_sum                                        5.710540
179    SM_enum_nla_atkinson                                   5.696517
180    SM_enum_na_atkinson                                    5.696517
181    SM_enum_tnlpa_atkinson                                 5.690947
182    SM_enum_tnpa_atkinson                                  5.690947
183    SM_interface_noi_sum                                   5.689112
184    SM_enum_cco_generalized_entropy                        5.688908
185    SM_class_tcloc_sum                                     5.686794
186    SM_enum_cboi_theil                                     5.682254
187    SM_class_ccl_stdev                                     5.677662
188    SM_enum_ci_generalized_entropy                         5.676198
189    SM_class_tnlpm_max                                     5.674973
190    SM_method_mccc_min                                     5.667956
191    SM_enum_clc_generalized_entropy                        5.667116
192    SM_class_tnls_max                                      5.665343
193    SM_class_nls_sum                                       5.665343
194    SM_enum_cllc_generalized_entropy                       5.663379
195    SM_interface_tnlg_sum                                  5.662145
196    SM_class_tnlm_max                                      5.661644
197    SM_enum_cc_generalized_entropy                         5.658649
198    SM_interface_tnlpa_max                                 5.652942
199    SM_enum_pua_generalized_entropy                        5.645029
200    SM_enum_ad_stdev                                       5.637710
201    SM_enum_ccl_median                                     5.636241
202    SM_class_tnla_sum                                      5.636066
203    SM_interface_tlloc_median                              5.635515
204    SM_enum_tna_atkinson                                   5.632183
205    SM_enum_tnla_atkinson                                  5.632183
206    SM_enum_ccl_avg                                        5.632153
207    SM_interface_tnlpa_sum                                 5.628674
208    SM_file_pua                                            5.624824
209    SM_class_cllc_sum                                      5.622344
210    SM_enum_pua_sum                                        5.620003
211    SM_interface_tnla_median                               5.617038
212    SM_class_tns_sum                                       5.616655
213    SM_enum_nle_theil                                      5.612740
214    SM_enum_nl_theil                                       5.612740
215    SM_class_tnlg_stdev                                    5.612100
216    SM_interface_tnpa_max                                  5.609446
217    SM_interface_tna_median                                5.608143
218    SM_interface_noa_theil                                 5.606631
219    SM_class_cc_sum                                        5.599521
220    SM_interface_tlloc_avg                                 5.598983
221    SM_interface_tnpa_sum                                  5.597789
222    SM_interface_nop_theil                                 5.595797
223    SM_interface_na_stdev                                  5.591533
224    SM_interface_npa_stdev                                 5.591533
225    SM_interface_nii_stdev                                 5.584134
226    SM_interface_tnpm_stdev                                5.581311
227    SM_enum_nl_stdev                                       5.579252
228    SM_enum_nle_stdev                                      5.579252
229    SM_interface_cbo_stdev                                 5.570085
230    SM_interface_tnla_avg                                  5.564177
231    SM_interface_tna_avg                                   5.551510
232    SM_class_nlpm_sum                                      5.547200
233    SM_enum_pua_coefficient_of_variation                   5.545546
234    SM_enum_noi_shannon_entropy                            5.543933
235    SM_enum_lcom5_theil                                    5.542558
236    SM_class_nlm_sum                                       5.539221
237    SM_enum_nl_generalized_entropy                         5.539070
238    SM_enum_nle_generalized_entropy                        5.539070
239    SM_interface_noa_sum                                   5.535415
240    SM_enum_cd_theil                                       5.532354
241    SM_class_clc_sum                                       5.529471
