======================================================================
TOP FEATURES BY CLUSTER RELEVANCE
Dataset: calcite
Algorithm: DBSCAN
Samples: 19751, Features: 5234
======================================================================

Rank   Feature                                               Relevance
----------------------------------------------------------------------
1      SM_interface_nod_stdev                                 7.572770
2      SM_enum_dloc_stdev                                     7.274223
3      SM_enum_cloc_stdev                                     7.207849
4      SM_enum_tcloc_stdev                                    7.188442
5      SM_enum_npa_stdev                                      6.832059
6      SM_enum_nlpa_stdev                                     6.832059
7      SM_enum_nla_stdev                                      6.760330
8      SM_enum_na_stdev                                       6.760330
9      SM_enum_tnlpa_stdev                                    6.658397
10     SM_enum_tnpa_stdev                                     6.658397
11     SM_enum_tna_stdev                                      6.593507
12     SM_enum_tnla_stdev                                     6.593507
13     PMD_msminic                                            6.538816
14     SM_interface_cboi_stdev                                6.333625
15     SM_enum_ad_generalized_entropy                         6.218564
16     SM_enum_ad_atkinson                                    6.202224
17     SM_enum_ad_theil                                       6.175896
18     SM_method_cco_min                                      6.116236
19     SM_method_ci_min                                       6.105069
20     SM_method_cco_median                                   6.101377
21     PMD_eafc                                               6.073374
22     SM_method_ccl_min                                      6.038590
23     SM_enum_cco_min                                        5.999180
24     SM_method_ci_median                                    5.996009
25     SM_method_cco_avg                                      5.974549
26     SM_enum_cboi_stdev                                     5.962159
27     SM_enum_ci_min                                         5.910782
28     SM_interface_noc_stdev                                 5.897895
29     SM_enum_pua_stdev                                      5.888309
30     SM_enum_nlg_stdev                                      5.850600
31     SM_enum_ng_stdev                                       5.850600
32     SM_enum_cco_median                                     5.828056
33     SM_enum_cco_avg                                        5.825816
34     SM_enum_dloc_max                                       5.806859
35     SM_enum_cboi_generalized_entropy                       5.791905
36     SM_enum_cloc_max                                       5.781402
37     SM_enum_tcloc_max                                      5.780399
38     SM_interface_nop_stdev                                 5.775368
39     SM_method_lldc_min                                     5.699761
40     SM_method_ldc_min                                      5.676391
41     SM_enum_cboi_atkinson                                  5.653592
42     SM_interface_noa_stdev                                 5.649652
43     SM_interface_noa_theil                                 5.646711
44     SM_enum_ccl_min                                        5.646292
45     SM_interface_nop_sum                                   5.642999
46     SM_enum_ci_median                                      5.642617
47     SM_enum_ci_avg                                         5.641642
48     SM_enum_na_generalized_entropy                         5.602336
49     SM_enum_nla_generalized_entropy                        5.602336
